Product name ,Quantity,Description,Seller,Cost (USD),Link
Hotend,2,The filament nozzle device. One is required per toolhead. The Cr6-SE is a cheap but effective hotend including a thermistor,AliExpress,2.02,https://www.aliexpress.com/item/1005009905454085.html?spm=a2g0o.productlist.main.22.1195691eJDhNxy&aem_p4p_detail=202512271930012236403466986130002200499&algo_pvid=d23607ee-694e-4154-9111-8959a90f116f&algo_exp_id=d23607ee-694e-4154-9111-8959a90f116f-19&pdp_ext_f=%7B%22order%22%3A%2224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2111.25%211.50%21%21%2152.07%216.93%21%40210319b017668926011586770e2ba0%2112000050536239908%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475284&curPageLogUid=x0keTjzVCg9x&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009905454085%7C_p_origin_prod%3A&search_p4p_id=202512271930012236403466986130002200499_5#nav-description
SCS8UU,6,The Bearing block for Axis carriages,AliExpress,2.02,https://www.aliexpress.com/item/32673362239.html?spm=a2g0o.productlist.main.31.b9a51585qgQqgq&algo_pvid=e50e9489-4198-444b-b405-8c068f665979&algo_exp_id=e50e9489-4198-444b-b405-8c068f665979-30&pdp_ext_f=%7B%22order%22%3A%2277%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2115.88%211.50%21%21%2110.50%211.00%21%402101e2b217669633532965058e2dea%2164097981491%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475355&curPageLogUid=p5oH8rPyausd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32673362239%7C_p_origin_prod%3A
4010 Fan,4,"Fans for cooling the hotend, print layer and idle hotends",AliExpress,7.99,https://www.aliexpress.com/item/1005007729118765.html?spm=a2g0o.productlist.0.0.3ddd4a4bJHgrZR
SK8 Clamp,28,"The clamp to support and hold linear rods in place. One on either end of each rod, so twice as many rods = 20",AliExpress,7.05,https://www.aliexpress.com/item/1005008658256708.html?spm=a2g0o.productlist.main.4.33ed1fc7pIpoq8&algo_pvid=812aeaeb-7ed8-42da-bb20-6c52ae2f3f55&algo_exp_id=812aeaeb-7ed8-42da-bb20-6c52ae2f3f55-3&pdp_ext_f=%7B%22order%22%3A%2272%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%218.31%211.50%21%21%215.49%210.99%21%402101f11417669140235148068eec61%2112000046126459260%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475311&curPageLogUid=hWf4a2K9OlRr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008658256708%7C_p_origin_prod%3A
GT2 Timing Belt,1,"10m, 6mm wide GT2 timing belt is cut into loops to control the motion of the X and Y axis",AliExpress,1.01,https://www.aliexpress.com/item/32921042288.html?spm=a2g0o.productlist.main.9.dc19260fHQkCx8&algo_pvid=42b36927-dbf9-467a-9ef8-008b96a7d19d&algo_exp_id=42b36927-dbf9-467a-9ef8-008b96a7d19d-8&pdp_ext_f=%7B%22order%22%3A%22484%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2112.28%211.50%21%21%218.12%210.99%21%402103212317669146277173824e804f%2166458659522%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475358&curPageLogUid=5D66uaLnRT52&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32921042288%7C_p_origin_prod%3A
GT2 Kit,1,"Kit containing: 2 drive pulleys for moving x and y carriages (1 each axis), 2 idler pulleys (one for each axis)",AliExpress,1.01,https://www.aliexpress.com/item/1005009939779429.html?spm=a2g0o.productlist.main.3.1f47d9c6o4mkHd&algo_pvid=ac3f195f-368e-4472-9307-97a4e1a746a4&algo_exp_id=ac3f195f-368e-4472-9307-97a4e1a746a4-2&pdp_ext_f=%7B%22order%22%3A%2266%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2113.85%211.50%21%21%2164.13%216.95%21%402101c44517669644042368733ed6df%2112000050632270083%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475393&curPageLogUid=upTNzYUvzRft&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009939779429%7C_p_origin_prod%3A
Aluminium Profile 90 degree connector,8,Connector for mount the Z axis aluminium profiles and cross supports,AliExpress,2.6,https://www.aliexpress.com/item/1005009568991960.html?spm=a2g0o.productlist.main.13.23e33e81gMoj9j&algo_pvid=df7488c1-aaac-47fd-aa3a-ad18884f5efb&algo_exp_id=df7488c1-aaac-47fd-aa3a-ad18884f5efb-12&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2135.00%213.88%21%21%21162.06%2117.97%21%40210328c017669578747246473e1394%2112000049489261049%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475358&curPageLogUid=6VI4EhEi0oGP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009568991960%7C_p_origin_prod%3A
Aluminium profile corner connector,8,"Corner connector to mount aluminium profiles into cube frame, one per corner",AliExpress,1.01,https://www.aliexpress.com/item/1005006980677952.html?spm=a2g0o.productlist.main.1.b02d53f2Ckgas6&algo_pvid=32e23812-a51a-4d5e-8101-75851665adfa&algo_exp_id=32e23812-a51a-4d5e-8101-75851665adfa-0&pdp_ext_f=%7B%22order%22%3A%22201%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2110.11%211.50%21%21%2146.81%216.95%21%402101ef5e17669529916196656ec5ca%2112000053084955969%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475369&curPageLogUid=gBnyHaq4LmrV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006980677952%7C_p_origin_prod%3A
PSU,1,"24V 350W PSU. Plugs into wall, and has terminal blocks for DC output",AliExpress,59.52,https://www.aliexpress.com/item/1005010010059507.html?spm=a2g0o.productlist.main.19.36124e47hgaNFq&algo_pvid=c5bd50d0-b6a4-4949-b2b2-77f074b121cc&algo_exp_id=c5bd50d0-b6a4-4949-b2b2-77f074b121cc-16&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2188.69%2188.69%21%21%21410.60%21410.60%21%40210319b017669613151646169e2b84%2112000050831752274%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=w3K92M49nX8O&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010010059507%7C_p_origin_prod%3A#nav-description
Screw terminals,2,"High current, 7.62mm pitch 2 pin screw terminals for PSU input to PCB and hotend heater connection",AliExpress,1.01,https://www.aliexpress.com/item/1005003493308832.html?spm=a2g0o.productlist.main.22.2024f9eaPKTGqp&algo_pvid=66d612f9-e0c9-4a37-a3e8-cd4ab73c215d&algo_exp_id=66d612f9-e0c9-4a37-a3e8-cd4ab73c215d-21&pdp_ext_f=%7B%22order%22%3A%22247%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.44%211.50%21%21%211.61%210.99%21%40210319b017669525865332031e2b86%2112000046285638762%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000187475284&curPageLogUid=19CJwkebcpba&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003493308832%7C_p_origin_prod%3A#nav-description
