Product name ,Quantity,Description,Seller,Cost (USD),Link
Stepper drivers,5,The A4988 Stepper drivers control the stepper motors. One per motor,Temu,5.44,https://www.temu.com/au/5pcs-a4988-stepper--module-with-heat-sink-compatible-for-3d-printer-cnc-machine-robotics-heavy-duty-stepper-driver-board-low-voltage-operation-36v-compatible-with--for-reprap-no-electronics-board-g-601100190015732.html?_oak_name_id=2537994467185831599&_oak_mp_inf=EPTBs9qo1ogBGiA3OTQ5MDQ3ODYwYTA0NTMxODJjMjA5NGViMTA4YzI1ZSC2jMahvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F3baf134c-5f06-4e67-890c-4b2e39b976d7.jpg&spec_gallery_id=4618465222&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=OTUx&_oak_gallery_order=1472335960%2C638439335%2C1743083000%2C1908921223%2C321487646&search_query=a4988&search_key=a4988&refer_page_el_sn=200049&ab_scene=1&preload_js=1&_x_sessn_id=620kilrurv&refer_page_name=search_result&refer_page_id=10009_1768791577622_kirl4or9vr
Pogo connectors,2,"A pair of magnetic connectors for transferring power and data between the toolhead and the X carriage (to the motherboard). One female is required for the carriage, one male is required per toolhead",AliExpress,9.27,https://www.aliexpress.com/item/1005009493408885.html?spm=a2g0o.productlist.main.36.ac6ab5faiTouzU&algo_pvid=eb5fb6c3-3e0d-477f-8e01-a7f441a4f3d7&algo_exp_id=eb5fb6c3-3e0d-477f-8e01-a7f441a4f3d7-35&pdp_ext_f=%7B%22order%22%3A%2257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.85%211.59%21%21%211.22%211.05%21%402101e2b017688828342994641e1a9d%2112000049275008588%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=1UtYP8iZN0DZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009493408885%7C_p_origin_prod%3A
4010 Fan,4,"Fans for cooling the hotend, print layer and idle hotends",AliExpress,3.55,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.10.704b4f41S1EIRP&productIds=1005006317979634:12000036739932434&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006317979634%7C_p_origin_prod%3A&pvid=9537f778-c010-4584-8f14-8407c00317da
100 µF capacitor,5,"Larger, 50V 100µF electrolytic capacitor to prevent large spikes to stepper driver",AliExpress,3.35,https://www.aliexpress.com/item/1005006103573862.html?spm=a2g0o.productlist.main.1.1b7937224n3mt1&algo_pvid=be661fcf-aaf3-43be-8cd3-6b6f82b518b6&algo_exp_id=be661fcf-aaf3-43be-8cd3-6b6f82b518b6-0&pdp_ext_f=%7B%22order%22%3A%22553%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.66%211.50%21%21%2116.85%216.94%21%402101ea8c17688831533476675eab60%2112000035757203380%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838605&curPageLogUid=iLWVM9XPXba2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006103573862%7C_p_origin_prod%3A
6mm smooth rod,1,"The 6mm smooth rod is cut up into small lengths ~2cm. Six lengths are used to form 3 points of contact in a kinematic coupling, which is the basis for the tool changer mounting. There is roughly 120mm of rod per tool",Temu,3.93,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601103578228025&sku_id=17610523208584&_oak_page_source=501&_x_sessn_id=5tnn9cb9j6&refer_page_name=shopping_cart&refer_page_id=10037_1768883236525_rt5uu3tcvo&refer_page_sn=10037
8mm steel balls,6,"The steel balls make up the tool head side of the coupling, sliding into the pairs of rods to make a kinematic coupling. Three balls are required per tool",Temu,1.96,https://www.temu.com/au/50pcs-8mm-high-carbon-steel-bearings-polished-precision-hardened-for-industrial-and-bicycle-bearing-additions-g-606550127122263.html?_oak_mp_inf=ENeu9qb39IkBGiBhNTkyMzNkMGEzZDA0OWExODY2MWNiM2FhZDlkNTRlNiD%2Bt6PNvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fdd169f07-2250-4ecc-8f61-7fc2e800d314.jpg&spec_gallery_id=26870547312&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzQy&_oak_gallery_order=1785210339%2C1885029049%2C1030448063%2C701677734%2C1663499608&search_query=8mm%20steel%20balls&search_key=8mm%20steel%20balls&refer_page_el_sn=200049&ab_scene=1&preload_js=1&_x_sessn_id=5tnn9cb9j6&refer_page_name=search_result&refer_page_id=10009_1768883282016_icayfcoe6z
Aluminium profile V slot,10,500mm 2020 Aluminium profiles make up the support frame. They form a cube to mount axis and standby tools.,Temu,69.15,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601101427050232&sku_id=17599801264485&_oak_page_source=501&_x_sessn_id=5tnn9cb9j6&refer_page_name=shopping_cart&refer_page_id=10037_1768883236525_rt5uu3tcvo&refer_page_sn=10037
Aluminium profile T slot,6,,Temu,37.99,https://www.temu.com/au/6pcs-500mm-19-7inch-t-slot-2020-aluminum-profile-extrusion-european-standard-anodized-linear-guide-rail-for-3d-printer-parts-and-cnc-machinery-precision-engineering-durable-construction--rail-industrialgrade-rail-tslot-rail-g-601100054404692.html?_oak_name_id=7480127774856407130&_oak_mp_inf=ENS83pmo1ogBGiBlMmYzNjI3N2E5MDk0YjBiYjgzYWVlNTQxNDZlYjNkOCDaz7rNvTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffmket%2Fab99c7da5f8c0ad2d2783df1b12fd41a.jpg&spec_gallery_id=2&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NjY0Mw&_oak_gallery_order=725320521%2C634616228%2C1571602896%2C1760908985%2C1326249813&search_query=1%20pc%20aluminium%20t%20slot%20500mm&search_key=1%20pc%20aluminium%20t%20slot%20500mm&refer_page_el_sn=200049&ab_scene=1&preload_js=1&_x_sessn_id=5tnn9cb9j6&refer_page_name=search_result&refer_page_id=10009_1768883661684_hf5qumdu33
Leadscrew,2,"500mm leadscrews with 8mm lead, 2mm pitch, T8. Allow the motion of the Z axis",AliExpress,14.44,https://www.aliexpress.com/item/1005007979792529.html?spm=a2g0o.productlist.main.8.3de239fdx3IZfA&aem_p4p_detail=2026011920381818415785690056760003226217&algo_pvid=dccd5d40-4e71-4be6-ad7a-d58469c35052&algo_exp_id=dccd5d40-4e71-4be6-ad7a-d58469c35052-7&pdp_ext_f=%7B%22order%22%3A%2271%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%216.26%211.50%21%21%2128.78%216.90%21%402103212317688838988625364e772b%2112000043133955466%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838615&curPageLogUid=WSR8yxMhOTI0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007979792529%7C_p_origin_prod%3A&search_p4p_id=2026011920381818415785690056760003226217_2
Anti-backlash leadscrew nut,2,The nut block for attaching leadscrews to the aluminium profiles that support the Z axis/Bed,AliExpress,3.79,https://www.aliexpress.com/item/1005006826718120.html?spm=a2g0o.productlist.main.17.65763c390HuA9j&algo_pvid=3c57efca-3f28-4e96-8032-3fe69d2d6a6f&algo_exp_id=3c57efca-3f28-4e96-8032-3fe69d2d6a6f-16&pdp_ext_f=%7B%22order%22%3A%2251%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.73%211.50%21%21%2117.17%216.92%21%40210328df17688847244283453ed98f%2112000038429516539%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838623&curPageLogUid=65pwVz6xzyEr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006826718120%7C_p_origin_prod%3A
Corner bracket,8,,Aliexpress,5.13,https://www.aliexpress.com/item/1005008505134767.html?spm=a2g0o.productlist.main.37.3cc56v9m6v9mDN&algo_pvid=96062d91-a740-49c0-acad-af489ec77e1f&algo_exp_id=96062d91-a740-49c0-acad-af489ec77e1f-34&pdp_ext_f=%7B%22order%22%3A%2257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%217.00%211.50%21%21%2132.19%216.90%21%402101f11417688840891054255ec811%2112000045464721473%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838595&curPageLogUid=mfwyOGxZSpUS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008505134767%7C_p_origin_prod%3A
90 degree bracket,2,,Temu,3.69,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099557078822&sku_id=17592383316992&_oak_page_source=501&_x_sessn_id=rpwii9rne6&refer_page_name=shopping_cart&refer_page_id=10037_1768881210433_mvtqu6yi6b&refer_page_sn=10037
Gantry plate,3,,Aliexpress,17.28,https://www.aliexpress.com/item/1005007487312327.html?spm=a2g0o.productlist.main.6.4554511cRyDBsI&algo_pvid=41429c59-58b1-458b-8504-1ab11e0a7724&algo_exp_id=41429c59-58b1-458b-8504-1ab11e0a7724-5&pdp_ext_f=%7B%22order%22%3A%22138%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%218.70%211.50%21%21%215.75%210.99%21%402103129f17688842496465699e4072%2112000040974608466%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000198344603&curPageLogUid=KoJDc8OpkMHw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007487312327%7C_p_origin_prod%3A
Lm8UU,4,,,5.8,https://www.aliexpress.com/item/1005008514894735.html?spm=a2g0o.productlist.main.9.98fa7nXE7nXEbz&algo_pvid=cb911c63-36fe-4ec3-9ef5-c702673213e4&algo_exp_id=cb911c63-36fe-4ec3-9ef5-c702673213e4-8&pdp_ext_f=%7B%22order%22%3A%22159%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%218.12%211.50%21%21%215.37%211.00%21%402103122117688843572371146e9758%2112000045514297141%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838570&curPageLogUid=YU3c9D1OQmkO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008514894735%7C_p_origin_prod%3A
8mm smooth rod,4,,Aliexpress,19.89,https://www.aliexpress.com/item/32910995390.html?spm=a2g0o.productlist.main.7.5c36XhR1XhR192&algo_pvid=3b0a2f55-55b3-4b23-b576-32819c00dbf2&algo_exp_id=3b0a2f55-55b3-4b23-b576-32819c00dbf2-6&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2113.16%2111.19%21%21%218.70%217.40%21%402103110517688844451393078e349d%2166726220054%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=iklCxlcIxuPD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32910995390%7C_p_origin_prod%3A
Shaft coupler,2,,Temu,2.85,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601104056754749&sku_id=17612924750805&_oak_page_source=501&_x_sessn_id=5tnn9cb9j6&refer_page_name=shopping_cart&refer_page_id=10037_1768883236525_rt5uu3tcvo&refer_page_sn=10037
3d print bed,1,"6mm Cast Alloy build plate. This is the structural element of the print bed, a surface is added e.g PEI or painters tape and the bed is complete",AliExpress,57.19,https://www.aliexpress.com/item/1005010341219518.html
Leadscew fixing block,2,A bearing block that holds the leadscrew in place,AliExpress,4.11,https://www.aliexpress.com/item/1005003074750605.html?spm=a2g0o.productlist.main.2.43c85719QwgDN2&algo_pvid=e289a728-3a7d-442e-ad75-89676683f05c&algo_exp_id=e289a728-3a7d-442e-ad75-89676683f05c-1&pdp_ext_f=%7B%22order%22%3A%22160%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.76%211.50%21%21%2117.30%216.91%21%402101d97817688840392774175e4606%2112000023876897369%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838541&curPageLogUid=PqT2uBu0W3p9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003074750605%7C_p_origin_prod%3A
M5 nut,40,T Nut for fastening M5 screws,AliExpress,4,https://www.aliexpress.com/item/1005007383347166.html?spm=a2g0o.productlist.main.1.1f934e87rCNYoO&aem_p4p_detail=202601192057125136093008462850003204256&algo_pvid=dc968496-7f6a-4758-b581-c25bea83a76f&algo_exp_id=dc968496-7f6a-4758-b581-c25bea83a76f-0&pdp_ext_f=%7B%22order%22%3A%221043%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2110.50%211.50%21%21%2148.26%216.88%21%4021030a4b17688850322717348eed0e%2112000040523054014%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838585&curPageLogUid=xpPeUXxTGQnY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007383347166%7C_p_origin_prod%3A&search_p4p_id=202601192057125136093008462850003204256_1
